Porosity,Permeability,Available fluid,Oil saturation,Total hydrocarbon (gas measurement),Total hydrocarbon (light hydrocarbon),Number of peaks,Benzene,Toluene,Methyl cycloalkane index,C1-C5/full hydrocarbon,C1/full hydrocarbon
17.64,10.27233378,39.73,33.6,2.112,22227.25,47,134.365,6.897,2.29,0.6498191,0.4524622
,,,,13.783,57164.89,65,178.607,40.321,3.9286803,0.8190069,0.2231588
10.9,4.034839875,51.97,40.54,11.593,57164.89,65,178.607,40.321,3.9286803,0.8190069,0.2231588
,,,,2.438,14289.12,42,20.496,28.699,2.39528,0.7834777,0.454409
,,,,0.28,16547.13,41,36.797,56.886,3.666719,0.7748402,0.4441777
,,,,9.197,16547.13,41,36.797,56.886,3.666719,0.7748402,0.4441777
,,,,8.358,13265.32,60,6.978,16.181,1.428161,0.893617739,0.805569731
,,,,23.449,16090.49,69,13.638,44.065,0.4232668,0.824412716,0.729810618
,,,,0.653,10336.71,41,16.078,26.855,1.172486,0.8632632,0.198965338
,,,,11.464,10336.71,41,16.078,26.855,1.172486,0.8632632,0.198965338
,,,,0.259,31774.91,56,148.265,171.042,1.106251,0.6643599,0.1921231
,,,,6.78,31774.91,56,148.265,171.042,1.106251,0.6643599,0.1921231
,,,,2.034,17358.45,57,32.227,119.221,1.079598,0.6952617,0.4380618
,,,,6.502,17358.45,57,32.227,119.221,1.079598,0.6952617,0.4380618
,,,,5.971,,,,,,,
,,,,4.432,,,,,,,
,,,,3.328,,,,,,,
,,,,2.1,,,,,,,
,,,,5.857,,,,,,,
,,,,2.768,,,,,,,
,,,,2.969,,,,,,,
,,,,5.118,,,,,,,
,,,,3.498,,,,,,,
,,,,1.519,,,,,,,
,,,,7.627,,,,,,,
,,,,6.649,,,,,,,
,,,,5.285,,,,,,,
,,,,7.847,,,,,,,
,,,,0.251,,,,,,,
,,,,1.196,,,,,,,
,,,,2.093,8771.57,54,150.184,21.303,2.984554,0.5853208,0.1388276
,,,,0.595,22747.42,63,128.451,40.438,0.8752872,0.6786062,0.2457113
,,,,2.622,26003.31,46,241.738,16.168,3.639447,0.8194681,0.6481698
,,,,6.316,26013.26,45,219.261,15.191,2.808764,0.8490595,0.3635601
,,,,3.244,36182.6,49,166.829,117.414,0.9019428,0.8497965,0.30888
,,,,0.451,4748,46,11.895,4.586,4.234753,0.7538509,0.4533682
,,,,3.099,5225.04,43,99.866,17.131,5.228639,0.6174563,0.2705369
,,,,1.637,7356.938,29,18.409,5.353,2.015364,0.9244463,0.6615954
,,,,3.463,6044.31,58,21.576,8.171,2.629167,0.3999459,0.2023273
,,,,1.069,7903.688,36,20.5,6.98,4.538026,0.622968,0.4041665
,,,,2.708,22975.19,44,169.825,37.959,0.8996802,0.77149,0.3219108
,,,,1.265,42.195,2,0,0,0,1,0.9553975
,,,,3.408,2460.574,9,0,0,0,0.9919876,0.9205157
